work_year,experience_level_encoded,company_size_encoded,remote_ratio,job_Data_Engineer,job_Data_Scientist,job_ML_AI_Engineer,job_Manager_Lead,job_Other,salary_in_usd
2024,2,1,0,1,0,0,0,0,112200
2023,1,2,50,1,0,0,0,0,95012
2024,1,1,0,1,0,0,0,0,198072
2025,2,1,100,0,0,0,0,0,126900
2024,2,1,100,0,0,0,1,0,170000
2022,2,1,0,0,0,0,0,0,166700
2023,2,1,100,0,1,0,0,0,168800
2025,1,1,0,0,0,0,0,1,67857
2025,0,1,0,0,0,0,0,0,75300
2024,2,1,100,1,0,0,0,0,119444
2023,2,1,0,1,0,0,0,0,190000
2024,1,1,0,0,0,0,0,1,75600
2025,2,1,0,1,0,0,0,0,223600
2024,2,1,100,0,1,0,0,0,247000
2024,2,1,0,1,0,0,0,0,370000
2024,2,1,0,1,0,0,0,0,124700
2025,0,1,0,0,1,0,0,0,51000
2025,2,1,0,0,0,0,0,0,120000
2024,2,1,0,1,0,0,0,0,210450
2024,1,1,0,1,0,0,0,0,130000
2025,1,1,0,1,0,0,0,0,161000
2024,1,1,0,0,1,0,0,0,389500
2024,1,1,0,0,0,0,1,0,69300
2024,2,1,100,0,1,0,0,0,105301
2025,1,1,0,0,0,0,0,1,161000
2025,3,1,0,0,1,0,0,0,167400
2025,0,1,0,0,0,0,0,0,80748
2023,2,1,100,0,1,0,0,0,110000
2025,2,1,0,0,0,0,1,0,143000
2025,1,1,100,0,0,0,0,0,130600
2023,2,1,0,1,0,0,0,0,199000
2025,1,1,0,1,0,0,0,0,260000
2024,2,1,100,0,0,0,0,0,122000
2023,2,1,0,1,0,0,0,0,145000
2024,1,1,0,1,0,0,0,0,198600
2025,1,1,0,1,0,0,0,0,131000
2024,2,1,100,1,0,0,0,0,119200
2024,2,1,0,1,0,0,0,0,250000
2024,2,1,100,0,1,0,0,0,200000
2025,0,1,0,0,0,0,0,0,85000
2024,1,1,0,0,0,0,1,0,137000
2024,0,1,0,0,0,0,0,0,87552
2025,1,1,0,0,0,0,1,0,65900
2024,1,1,100,0,0,0,0,1,165000
2024,1,1,0,0,0,0,1,0,425000
2024,0,1,0,0,0,0,0,1,174600
2025,0,1,0,0,0,0,0,0,89600
2024,2,1,100,0,1,0,0,0,178262
2024,2,1,0,0,0,0,0,1,127274
2025,1,1,0,0,0,0,1,0,92920
2023,2,1,0,1,0,0,0,0,167200
2024,1,1,0,1,0,0,0,0,220000
2024,3,1,0,0,0,0,0,1,161450
2025,0,1,100,0,0,0,0,0,73684
2024,2,1,0,0,0,0,1,0,213480
2025,1,1,0,0,0,0,0,0,61000
