job_title,employee_residence,company_location,experience_level,employment_type,salary_in_usd,salary_log1p
Engineer,US,US,SE,FT,204000,12.225880174775122
Data Analytics Manager,US,US,SE,FT,133600,11.80261302508661
Data Engineer,US,US,SE,FT,95000,11.461642696843066
Data Scientist,US,US,EN,FT,105000,11.561725152903833
Solutions Engineer,US,US,SE,FT,198000,12.19602736016897
Analytics Engineer,US,US,MI,FT,75000,11.225256725762893
Consultant,US,US,SE,FT,171400,12.051761119434515
Research Engineer,US,US,SE,FT,85000,11.350418300109132
Full Stack Developer,US,US,SE,FT,356500,12.784092323881643
Software Architect,US,US,SE,FT,141950,11.863237206610364
Platform Engineer,US,US,MI,FT,160000,11.982935344196433
Data Engineer,ES,ES,MI,FT,72631,11.193160875051593
Analyst,US,US,SE,FT,162000,11.995357787034976
Machine Learning Scientist,US,US,SE,FT,225000,12.323860125621126
Business Intelligence Engineer,US,US,SE,FT,156400,11.9601785009348
Data Scientist,US,US,SE,FT,92500,11.434974734252892
Analyst,CA,CA,EN,FT,84000,11.338583982516495
Business Intelligence Engineer,GB,GB,MI,FT,47238,10.762975101585972
Research Analyst,CA,CA,MI,FT,94310,11.45435311081116
Technical Architect,US,US,SE,FT,224000,12.319405795112926
Software Engineer,US,US,SE,FT,164000,12.00762780434872
Engineer,US,US,SE,FT,163700,12.00579687207606
Data Scientist,US,US,SE,FT,167100,12.026353699006034
Software Engineer,US,US,MI,FT,222742,12.31377391947451
Software Developer,CA,CA,SE,FT,144650,11.882079223619238
Systems Engineer,US,US,SE,FT,360000,12.793862088206213
Research Engineer,US,US,MI,FT,121000,11.703554089007538
Machine Learning Engineer,US,US,MI,FT,141500,11.860062063178267
Software Engineer,US,US,SE,FT,137600,11.832113471896832
Data Scientist,US,US,MI,FT,89500,11.402005077384885
AI Specialist,CA,CA,SE,FT,104900,11.560772327227417
Data Scientist,US,US,MI,FT,143500,11.874097282798648
Research Scientist,US,US,MI,FT,284000,12.556733038263905
Data Analyst,US,US,EN,FT,66730,11.108424891548891
Engineer,US,US,SE,FT,410000,12.923914877701906
Analyst,US,US,EN,FT,132000,11.790564777297387
Data Governance Analyst,US,US,SE,FT,119400,11.690242855114947
Data Engineer,US,US,SE,FT,95000,11.461642696843066
Software Engineer,US,US,SE,FT,514000,13.1499804899607
Data Scientist,US,US,EN,FT,124800,11.734475747705874
Data Scientist,US,US,SE,FT,186846,12.138045379125117
